sale_id,order_id,date_key,customer_key,product_key,quantity,unit_price,sales_amount,discount_amount
1,1,20180101,181,3,1,null,null,null
2,1,20180101,181,7,9,null,null,null
3,2,20180101,119,5,12,null,null,null
4,2,20180101,119,10,3,null,null,null
5,2,20180101,119,4,3,null,null,null
6,2,20180101,119,6,2,null,null,null
7,2,20180101,119,12,3,null,null,null
8,2,20180101,119,2,12,null,null,null
9,2,20180101,119,1,4,null,null,null
10,2,20180101,119,3,2,null,null,null
11,2,20180101,119,11,6,null,null,null
12,2,20180101,119,7,5,null,null,null
13,2,20180101,119,9,2,null,null,null
14,3,20180101,69,12,5,null,null,null
15,3,20180101,69,11,1,null,null,null
16,3,20180101,69,8,9,null,null,null
17,3,20180101,69,1,5,null,null,null
18,3,20180101,69,2,5,null,null,null
19,3,20180101,69,4,1,null,null,null
20,3,20180101,69,10,6,null,null,null
21,4,20180101,173,3,2,null,null,null
22,4,20180101,173,11,4,null,null,null
23,4,20180101,173,1,6,null,null,null
24,4,20180101,173,5,3,null,null,null
25,4,20180101,173,9,5,null,null,null
26,4,20180101,173,12,2,null,null,null
27,4,20180101,173,10,2,null,null,null
28,5,20180101,237,10,1,null,null,null
29,6,20180101,238,5,9,null,null,null
30,6,20180101,238,3,2,null,null,null
31,6,20180101,238,1,1,null,null,null
32,6,20180101,238,7,3,null,null,null
33,6,20180101,238,9,4,null,null,null
34,6,20180101,238,8,6,null,null,null
35,6,20180101,238,12,1,null,null,null
36,7,20180101,154,8,7,null,null,null
37,8,20180101,69,7,2,null,null,null
38,8,20180101,69,2,5,null,null,null
39,8,20180101,69,6,1,null,null,null
40,8,20180101,69,10,2,null,null,null
41,8,20180101,69,12,8,null,null,null
42,8,20180101,69,11,1,null,null,null
43,8,20180101,69,1,3,null,null,null
44,8,20180101,69,4,5,null,null,null
45,8,20180101,69,5,5,null,null,null
46,8,20180101,69,3,1,null,null,null
47,9,20180101,35,9,2,null,null,null
48,9,20180101,35,4,9,null,null,null
49,9,20180101,35,12,1,null,null,null
50,9,20180101,35,3,1,null,null,null
51,9,20180101,35,10,1,null,null,null
52,9,20180101,35,6,2,null,null,null
53,9,20180101,35,11,1,null,null,null
54,9,20180101,35,8,4,null,null,null
55,10,20180101,175,2,2,null,null,null
56,11,20180101,299,4,2,null,null,null
57,11,20180101,299,10,2,null,null,null
58,11,20180101,299,5,2,null,null,null
59,11,20180101,299,11,7,null,null,null
60,11,20180101,299,9,7,null,null,null
61,11,20180101,299,8,2,null,null,null
62,11,20180101,299,2,2,null,null,null
63,11,20180101,299,3,2,null,null,null
64,11,20180101,299,12,1,null,null,null
65,11,20180101,299,1,3,null,null,null
66,12,20180101,205,6,2,null,null,null
67,12,20180101,205,3,3,null,null,null
68,12,20180101,205,8,4,null,null,null
69,12,20180101,205,5,2,null,null,null
70,13,20180101,376,5,1,null,null,null
71,13,20180101,376,8,5,null,null,null
72,13,20180101,376,7,11,null,null,null
73,13,20180101,376,2,5,null,null,null
74,13,20180101,376,1,8,null,null,null
75,13,20180101,376,3,3,null,null,null
76,13,20180101,376,11,10,null,null,null
77,13,20180101,376,4,1,null,null,null
78,13,20180101,376,12,1,null,null,null
79,14,20180101,297,10,5,null,null,null
80,14,20180101,297,8,2,null,null,null
81,14,20180101,297,1,1,null,null,null
82,14,20180101,297,5,2,null,null,null
83,14,20180101,297,7,5,null,null,null
84,15,20180101,22,6,4,null,null,null
85,15,20180101,22,9,4,null,null,null
86,15,20180101,22,7,3,null,null,null
87,15,20180101,22,3,1,null,null,null
88,15,20180101,22,2,2,null,null,null
89,15,20180101,22,5,5,null,null,null
90,15,20180101,22,8,1,null,null,null
91,15,20180101,22,4,1,null,null,null
92,16,20180101,244,12,9,null,null,null
93,16,20180101,244,5,7,null,null,null
94,16,20180101,244,10,9,null,null,null
95,16,20180101,244,1,1,null,null,null
96,16,20180101,244,9,1,null,null,null
97,16,20180101,244,7,4,null,null,null
98,16,20180101,244,6,8,null,null,null
99,16,20180101,244,3,5,null,null,null
100,17,20180102,246,7,1,null,null,null
101,18,20180102,41,7,1,null,null,null
102,18,20180102,41,2,3,null,null,null
103,19,20180102,258,12,2,null,null,null
104,19,20180102,258,11,3,null,null,null
105,19,20180102,258,2,5,null,null,null
106,19,20180102,258,9,4,null,null,null
107,19,20180102,258,10,1,null,null,null
